question,A,B,C,D
"对于研究无相干发射源,射电成像光谱学的主要优势是什么?",它允许直接测量磁场强度。,它能够识别不同类型的太阳耀斑。,它提供了关于太阳暗锭散射性质的信息。,它允许从亮温谱中导出电子能量分布和等离子体温度等物理参数。
非热电子存在于等离子体中会如何影响旋磁共振辐射?,它会导致旋磁共振发射线变窄。,"它会降低高次谐波的不透明度,使它们不太明显。","根据非热电子的特定能量分布,它可能会使高次谐波在光学上变厚。",它对旋磁共振辐射没有显著影响。
"对于研究相干辐射源(如III型暴)的射电成像光谱学,其主要限制是什么?",相干源的亮温度谱不能直接转化为物理参数。,"相干源太暗弱,无法被现有射电望远镜探测到。",相干源的辐射机制尚不完全清楚。,"相干源只能在低射电频率下可见,而在该频率下空间分辨率有限。"
"对于未来射电成像光谱学的发展,最大的挑战是什么?",增加可用于观测的射电望远镜数量。,提高射电望远镜的灵敏度以探测更暗弱的源。,发展新的射电辐射机制理论。,寻找有效处理和可视化大量产生的数据的方法。
在红移大于5时，导致发光类星体数密度下降的主要原因是什么?,"总体恒星形成率下降,导致潜在的类星体宿主星系减少。","星系间介质中的中性氢含量增加,遮蔽了类星体的光。",能够形成并长大为超大质量黑洞的大质量黑洞种子数量减少。,"宇宙平均金属丰度增加,导致黑洞吸积效率降低。"
"什么关键观测结果支持这一结论,即超大质量黑洞必须在宇宙历史的最初十亿年内形成并快速增长?",探测到红移大于7.5的类星体发出强烈的X射线辐射。,"在红移大于6的类星体周围观测到大尺度结构,如星系团。",发现红移大于7.5的类星体拥有数十亿太阳质量的黑洞。,测量到红移大于6的类星体具有较高的爱丁顿比率。
测量高红移类星体中黑洞质量的主要方法是什么?,直接成像黑洞周围的吸积盘。,分析黑洞引起的引力透镜效应。,测量吸积盘的X射线发射率和温度。,分析类星体光谱中宽发射线的宽度和发射率。
"有什么证据表明,类星体反馈在其宿主星系的演化中起着重要作用?","观测到类星体周围存在大型Lyα星云,这表明存在强大的星际流动。","发现大部分类星体存在宽吸收线特征,这反映了高速度星际风。","探测到类星体强烈的射电辐射,与强大的射流相关。",以上全部。
如何利用类星体探测宇宙再电离化的历史?,通过分析类星体光线在星际介质中的中性氢吸收。,通过研究类星体发射的电离光子及其对再电离化过程的贡献。,"通过测量类星体周围星际介质的温度,该温度受再电离化的影响。",以上全部。
"在过去二十年中,天文学领域越来越多地使用高斯过程(GPs)的主要原因是什么?","开发了更强大的望远镜,收集了大量数据。",计算能力的提高和用户友好的GP软件包的可用性。,"研究重点转移到GP特别适用的领域,如系外行星研究。","发现了一些新的天体物理现象,只能使用GP来建模。"
高斯过程(GPs)如何被用于对具有过渡系外行星的恒星的光变曲线进行建模?,"高斯过程可以对过渡信号本身进行建模,从而推断行星参数。","高斯过程可以表示恒星变化性和仪器噪声,从而提高过渡参数估计的准确性。","在存在显著恒星变化性的情况下,高斯过程可用于检测过渡现象。",以上全部正确。
"在天文学中使用高斯过程(GPs)存在哪些重大挑战,以及如何解决这些挑战?","GPs容易过拟合,可以通过使用更简单的核函数来缓解这一问题。","对于大型数据集,GPs的计算成本可能很高,但已经开发出可扩展算法和近似方法。","GPs假设噪声为高斯噪声,这可能并不总是合适的,但可以使用其他随机过程模型。","GPs难以解释,需要专门的专业知识,但开源软件包使其更加易于使用。"
内盘与外盘的化学环境有何不同?,"内盘温度和密度较低,导致化学反应较慢,更多依赖于继承分子。","内盘温度和密度较高,导致挥发性物质升华和化学时间尺度加快。","内盘由于恒星辐射强烈而主导离子-分子化学,而外盘主要表现为中性-中性反应。","由于有效的混合和输运过程,内外盘均呈现相似的化学环境。"
"研究原行星盘不同区域的化学成分时,主要使用哪些观测技术?","X射线和紫外线观测最适合探测外盘冷气体,而红外光谱学则最适合研究内盘热气体。","毫米波和亚毫米波观测适合研究外盘冷气体,而红外光谱学针对较暖的内盘。","可见光观测由于外盘尘埃密度较低而最有效分析外盘,而红外观测则更适合内盘。","射电观测能最好洞察内盘致密分子区域,而X射线观测则更适合外盘。"
雪线如何影响原行星盘的化学成分和演化?,"雪线对盘的化学成分影响很小,因为分子可以在气态和固态之间自由转化,不受温度影响。","雪线起到阻隔作用,阻止内外盘之间分子交换,导致内外盘化学成分明显不同。","在雪线处挥发性物质凝结,改变了气态和固态的化学反应,影响了关键元素的可获得性和复杂有机物的形成。","雪线主要影响盘的动力学,通过形成压力峰捕获尘埃和气体,但对化学成分的影响可以忽略不计。"
"为什么CO通常被认为是原行星盘气体质量的不可靠示踪剂,并且提出了哪些替代示踪剂?","CO在盘环境中容易被光解离,导致低估气体质量。水蒸气由于其更高的丰度和稳定性而成为更可靠的示踪剂。","由于冻结、转化为其他分子以及动力学过程,CO在盘中的丰度可能会显著降低,影响气体质量的估算。N2H+和HD被提出作为替代示踪剂。","CO的发射是光学厚的,难以准确确定其柱密度,从而导致气体质量的不确定性。CO的同位素提供了更可靠的替代方案。","CO不是盘气体的主要成分,其分布与整体气体密度也不太相关。尘埃连续辐射可以更直接地测量气体质量。"
最近在光学/红外(O/IR)干涉测量领域发生革命性变化的主要原因是什么?,无线电干涉测量技术的进步已被应用于O/IR波长。,"建造了具有更多望远镜的新型干涉仪,大大改善了数据采集。","实施了双束相位参考以及自适应光学和干涉条纹跟踪,使得能够观测到更暗的天体。",探测器技术的突破大幅提高了O/IR干涉仪的灵敏度和分辨率。
"与较小的望远镜相比,大型望远镜如何为O/IR干涉测量提供显著优势?","大型望远镜具有更大的集光面积,从而提高了灵敏度并能观测到较暗的天体。","大型望远镜提供了更小的衍射极限,从而减小了视场范围,并能在像银心等拥挤区域进行观测。","大型望远镜的相干时间更长,允许更长的积分时间和更好的信噪比。",以上全部正确。
"在大型望远镜的红外干涉测量中,干涉条纹跟踪的主要限制因素是什么?","大气的短相干时间限制了曝光时间,从而限制了可达到的灵敏度。","望远镜和仪器的振动引入了额外的光程长度波动,这些波动很难校正。","观测目标非常暗淡,难以准确跟踪干涉条纹。","由于等压角的限制,可用于干涉条纹跟踪的合适参考星的天区覆盖范围有限。"
闭环相位概念如何提高光学/红外干涉测量的能力?,"闭环相位允许恢复由大气湍流破坏的相位信息,从而实现干涉仪的真实成像。","闭环相位延长了观测的相干时间,从而提高了灵敏度并能观测更暗的天体。","闭环相位提供了精确的测位信息,允许对恒星位置和运动进行精确测量。","闭环相位能够同时观测同一视场内的多个天体,提高了数据采集的效率。"
拟议的LIFE太空任务的主要目标是什么?,"对恒星和系外行星进行高精度的星等测量,从而改善对恒星质量和距离的测量。","以前所未有的分辨率成像恒星表面,从而深入了解恒星大气和磁场。",使用消光干涉技术直接探测和表征附近恒星宜居区内类似地球的系外行星。,"通过观测银河系和其他星系中原子氢的分布和运动学,研究星系的形成和演化。"
"在我们的太阳系中,短周期彗星(SPCs)和长周期彗星(LPCs)之间的主要区别是什么?","SPCs来自奥尔特云,而LPCs来自柯伊伯带。","SPCs具有高偏心轨道,而LPCs具有更加圆形的轨道。","与LPCs相比,SPCs具有更加各向同性的轨道倾角分布。","SPCs来自柯伊伯带,而LPCs来自奥尔特云。"
我们难以准确估计长周期彗星核的大小的主要因素是什么?,"长周期彗星本身非常暗淡,难以观测。","长周期彗星距离太阳非常遥远,难以探测。","彗星的彗发通常会遮挡核心,使直接测量变得困难。","长周期彗星在天空中移动迅速,难以跟踪。"
"在行星系统和物体被抛射到星际空间的背景下,萨夫罗诺夫数(\0398)有何重要意义?","A: 它代表了行星的逃逸速度与轨道速度的比值,表明了该行星抛射物体的潜力。","B: 它量化了行星对附近物体的引力影响,决定了它们的轨道稳定性。","C: 它测量了行星大气层的密度,影响了行星捕获星际物体的能力。","D: 它代表了行星自转的速率,影响了行星保留轨道物体的能力。"
"2I/Borisov彗星的成分与我们太阳系中典型的彗星相比如何,这暗示了它的起源?","2I/Borisov彗星展现出与大多数彗星相似的成分,表明它是在太阳系的同一区域形成的。","2I/Borisov彗星中挥发性物质明显贫乏,与典型的彗星相比,这暗示了不同的形成过程。","2I/Borisov彗星中一氧化碳(CO)的含量异常丰富,与大多数彗星相比,这暗示它是在原行星盘更冷、更遥远的区域形成的。","2I/Borisov彗星缺乏水冰,与大多数彗星不同,这暗示它是在一个非常干燥的环境中形成的。"
确定性识别星际流星体的主要挑战是什么?,"星际流星体极为罕见,难以观测。","星际流星体通常太小,无法被现有仪器探测到。","区分星际流星体的双曲线轨迹与太阳系内物体的轨迹需要高精度的速度和方向测量,这是一个挑战。","星际流星体在进入大气层时会完全燃尽,无法留下可分析的物理证据。"
环绕星系介质(CGM)的性质主要取决于以下两者之间的竞争:,恒星形成率和超新星反馈。,气体冷却和恒星风。,引力驱动的内落和气体冷却。,磁场和热传导。
"在气体吸积到星系的背景下,'冷吸积'指的是这样一种情况:","气体冷却速度较其自由落体时间缓慢,导致形成热的、受压支撑的暗物质晕。","气体冷却速度较其自由落体时间快,常形成被称为冷流的丝状结构。",气体吸积主要是由于冷却半径内热气体的冷却流所驱动的。,气体吸积主要是由星系间介质中冷气体团块的内落所主导的。
冷流比暗物质晕具有更高的特定角动量的主要物理解释是什么?,"在晕合并过程中,气体和暗物质之间的流体动力学相互作用导致它们发生偏移,自旋不对准从而使气体产生更大的自旋加速。","由于冷气体具有团簇和丝状结构,因此比分布更加均匀的暗物质经历更有效的潮汐扭矩作用。","反馈过程优先将低角动量气体从晕中驱逐,留下具有较高特定角动量的气体。",以上全部正确。
'风循环'过程在星系际介质中指的是:,"星系风物质重新吸积回到星系上,可能经历了相变。","气体被恒星反馈从星系中喷出,然后又因引力而重新吸积的连续循环。","从卫星星系喷出的气体转移到中心星系,为其恒星形成做出贡献。","风物质与环绕星系际介质混合,导致其化学组成发生变化。"
"'冷气体存活长度'是CGM中一个关键尺度,因为它:",决定了冷气体云团避免被流体动力学不稳定性破坏所需的最小尺寸,设定了由于快速冷却而导致冷气体碎裂的特征尺度,"代表热传导和辐射冷却平衡的尺度,影响云团演化",定义了冷气体变为自引力并坍缩形成恒星的尺度
"宇宙中某一区域能否形成第三代恒星,主要取决于什么因素?","该区域的viriel温度必须高于8,000K。",该区域必须富含来自前几代恒星的金属元素。,"该区域必须能够有效冷却,从而引发失控的引力坍缩。",该区域必须位于大质量暗物质晕内。
第三代III.1和第三代III.2恒星形成途径之间的主要区别是什么?,"A: 第三代III.1恒星是单独形成的,而第三代III.2恒星是成团形成的。",B: 第三代III.1恒星比第三代III.2恒星质量更大。,"C: 第三代III.1和第三代III.2恒星形成于不同类型的暗物质晕,第三代III.2恒星形成于原子冷却晕。","D: 第三代III.1恒星形成的主要冷却剂是分子氢(H\{}_{2}\),而第三代III.2恒星形成主要由重氢(HD)冷却。"
在原始气体云中，恒星形成过程最有可能的结果是什么?,形成一颗单一的、质量非常大的第三代恒星。,形成一对质量相似的第三代恒星组成的紧密双星系统。,"形成一小团第三代恒星,质量范围不等。","形成大量低质量的第三代恒星,类似于当今的初始质量函数。"
问题:恒星形成从第三族群向第二族群过渡的主要驱动机制是什么?,"A: 强莱曼-沃纳背景辐射的累积,抑制了低质量暗物质晕的H\{}_{2}\ 冷却。","B: 气体被第一批超新星富集了金属元素,导致更有效的冷却和碎裂。","C: 宇宙密度的增加,使得气体更容易冷却和坍缩。",D: 形成了产生大量电离辐射的超大质量恒星。
在高红移宇宙中直接识别第三星族恒星的最有前景的观测特征是什么?,A: 在深场图像中检测到一个非常明亮、红色的天体。,"B: 在高红移星系的光谱中检测到强烈的氦 II 1640 恩氏发射线,但没有相关的高度离子化金属发射线。",C: 检测到一个极高峰值亮度的超新星。,D: 检测到一个红移 z > 10 的伽马射线暴。
在星际介质（ISM）的背景下，以下哪一项准确描述了原子氢（Hi）的自旋温度（T_s）与动能温度（T_k）之间的关系？,T_s 和 T_k 总是等同，不受 Hi 相态或环境条件的影响。,在扩散温暖中性介质（WNM）中，碰撞有效地使 21 cm 跃迁热化，导致 T_s 通常高于 T_k。,在致密冷中性介质（CNM）中，与电子、离子和其他 Hi 原子的碰撞使 T_s 趋向于 T_k，通常导致它们近似等同。,赖曼-α 辐射场的存在对 21 cm 跃迁的热化以及 T_s 和 T_k 之间的关系影响可以忽略不计。
什么是加热漫射星际介质(ISM)的主要机制?,离子(如CII和OI)的精细结构线的碰撞激发。,"尘埃粒子上的光电效应,受恒星光强度和粒子性质的影响。",由碰撞过程产生的莱曼-α发射。,"由于与电子和其他HI原子的碰撞,21厘米跃迁的热化。"
研究银河系中冷中性介质（CNM）性质最有效的观测技术是什么？,"分析HI发射光谱,因为CNM通常主导观测到的发射。","观测背景连续源的HI吸收,利用CNM的中等高光深。","研究HI自吸收(HISA),它专门追踪CNM并提供与WNM的明确分离。","利用低频射电偏振测量法拉第旋转,因为它直接探测与CNM相关的磁场。"
解释氢原子发射的空间功率谱(SPS)以理解银河系湍流时面临的主要挑战是什么?,"氢原子发射的SPS对不同的湍流驱动机制和模式不敏感,难以区分它们的贡献。","氢原子的多相性质,具有不同的光学深度和视线复杂性,在SPS分析中引入了重大不确定性。","观测限制,如有限的空间分辨率和灵敏度,阻碍了在不同空间尺度上准确测量SPS斜率。","缺乏能够准确预测不同湍流状态下氢原子发射SPS的理论模型和模拟,阻碍了对观测结果的解释。"
盖亚卫星任务为我们带来了哪些重要的天文学发现？,"精确测量恒星距离和运动,从而更好地理解银河系的结构和演化。","详细观测系外行星大气层,揭示其成分和宜居性。","对遥远星系进行高分辨率成像,提供有关早期宇宙和星系形成过程的线索。","探测到来自合并黑洞和中子星的引力波,开辟了观测宇宙的新视角。"
探测到新星释放GeV伽马射线的意义是什么?,"它表明新星系统中存在强磁场,这对粒子加速至关重要。","它暗示新星是重要的核合成场所,产生丰富星际介质的重元素。","它为新星爆发中存在冲击波和粒子加速过程提供了证据,为这些高能事件带来新的见解。","它揭示了新星系统中白矮星周围存在吸积盘,证实了这些天体的双星性质。"
以下哪一项最好地描述了卡林顿事件在太阳耀斑背景下的重要性?,"它是有记录的第一次太阳耀斑,标志着我们对太阳活动的理解开始。","它仍然是有观测记录中最强大的太阳耀斑,展示了极端太阳事件的潜力。","它提供了太阳耀斑与地磁暴之间存在联系的第一个证据,突出了对地球的影响。","它揭示了其他太阳耀斑中未观察到的独特物理特征,导致了新的理论模型。"
根据开普勒望远镜观测到的恒星耀斑与总太阳辐射(TSI)数据中观测到的太阳耀斑有何不同?,恒星耀斑的能量范围比太阳耀斑广泛得多。,"恒星耀斑持续时间更长,上升时间也比太阳耀斑慢。","恒星耀斑主要在X射线波长被探测到,而太阳耀斑则在可见光范围内被观测到。",发生恒星耀斑的恒星的光谱类型与太阳有显著不同。
估算太阳耀斑释放的总能量的主要挑战是什么?,缺乏一个能够解释耀斑中所涉及的所有形式能量的综合理论模型。,"难以观测耀斑期间发射的整个电磁波谱,尤其是紫外线和红外线波段。","耀斑的复杂动态性质,物理参数在空间和时间上存在显著变化。",测量太阳corona中磁场强度和配置存在不确定性。
"与太阳耀斑相比,为什么检测恒星日冕物质耀发(CMEs)更具挑战性?","恒星CMEs的频率较低,能量也较太阳CMEs为低。","由于恒星的距离,目前的技术无法直接观测恒星CMEs。","恒星耀斑的亮度远高于恒星CMEs的特征,从而掩盖了后者。","恒星的磁场较弱,导致CMEs效应不太明显。"
太阳耀斑能量的幂律分布对于理解极端太阳事件有何启示?,"幂律暗示极大耀斑在统计上是不可避免的,对地球构成重大威胁。",幂律表明耀斑释放的总能量主要由频率最高的小耀斑主导。,"幂律意味着太阳corona存在自组织临界性,导致耀斑发生不可预测。","幂律分布可能在极高能量时不再适用,限制了对超级耀斑的可预测性。"
新星中导致热核爆炸的主要机制是什么?,一种燃烧波在白矮星内部传播。,氦灰的积累导致不稳定的氦燃烧。,"核燃烧快速释放的能量超过了辐射和传导的传输能力,导致对流。",伴星突然向白矮星大量积累质量。
哪一种观测证据支持新星抛射物内存在内部激波?,在伴有主系列伴星的经典新星中探测到GeV伽马射线辐射。,某些新星的光学光变曲线中存在尘埃遮蔽现象。,观测到来自白矮星表面的超软X射线辐射。,探测到来自膨胀电离抛射物的热射电辐射。
影响新星超软X射线相位关闭时间的主要因素是什么?,双星系统的轨道周期。,白矮星的质量。,新星的速度级别。,是否存在尘埃形成。
"观测到新星的X射线发射比理论预期值低的潜在解释是什么,即使伽马射线观测证实存在强大的冲击波?",X射线被包围冲击波的密集抛射物质吸收。,X射线和伽马射线发射源自抛射物质内部不同的冲击波结构。,"辐射性冲击波中的多维效应和不稳定性可能会抑制X射线发射,相比一维模型。","冲击波主要加速电子而非离子,导致X射线产生效率低下。"
新星爆发对于猫眼变星(CV)种群的演化有何影响?,"新星会导致CV双星系统扩张,从而降低质量转移率并可能进入休眠期。","新星总是会导致白矮星质量净增加,可能引发Ia型超新星。","新星可能会导致双星系统同时失去质量和角动量,轨道分离的净效应取决于这两个过程的相对贡献。",新星对CV双星系统的长期演化没有重大影响。
以下哪一项不是与冷老年恒星丰富宇宙的确定性方面有关的关键问题?,新形成的元素是通过何种机制从核心运输到外层大气?,导致分子和固态尘埃物种形成的条件是什么?,"在何种情况下可以形成恒星风,其产生的风速和质量流失率是多少?",物理和化学的基本定律如何支配冷老年恒星中的过程?
为什么经验质量损失率公式在恒星演化模型中可能存在问题?,"它们通常依赖于简化的参数化方法,可能会引入偏差。","由于观测限制,它们可能存在选择效应。",它们可能无法准确反映质量损失对于个别恒星的恒星参数依赖关系。,以上全部。
恒星风中的三维团簇对质量损失率的测定有何影响?,"它们是质量损失的主要原因,会显著增加质量损失率。","它们对总质量损失有不可忽视的贡献,但并非该过程的主导因素。",它们对整体质量损失率的影响可以忽略不计。,"由于遮蔽效应,它们会导致质量损失率被严重低估。"
"根据目前的理解,双星伴星在塑造冷老年星风中扮演什么角色?","冷老年星周围很少发现双星伴星,对它们的星风影响可以忽略不计。","双星伴星很常见,并在塑造冷老年星的星风中发挥重要作用,尤其是那些具有可检测质量流失率的星系。",双星伴星仅与塑造后AGB星和行星状星云的星风有关。,存在双星伴星总会导致主星的质量流失率增加。
"在理解富氧冷老年恒星风中的尘埃核化过程时,主要的挑战是什么?",观测上的限制阻碍了对尘埃核化过程的探测。,形成最初尘埃种子所涉及的具体途径和反应速率仍存在不确定性。,"热力学平衡模型准确预测了尘埃核化,因此没有进一步研究的必要。","尘埃核化在整个质量损失过程中只扮演次要角色,因此不是一个重要的研究领域。"
所谓'系外行星半径谷'在系外行星分布中的意义是什么?,"它代表了一个在周期-半径平面上,半径约为2个地球半径、轨道周期为3-30天的行星较少出现的区域。",它表明存在一个行星会遭受极端潮汐力而被破坏并形成残骸盘的区域。,"它标志着一个边界,超过该边界的行星主要是气态巨行星,而靠近恒星的行星主要是岩质行星。",它标记了通过核心聚积形成的行星和通过引力不稳定性形成的行星之间的过渡区域。
恒星伴星的存在如何影响系外行星的形成和探测?,"恒星伴星可能会减弱凌日信号,从而导致行星分类错误和参数估计不准确。此外,它们的引力影响可能会抑制紧密双星系统中的行星形成。","恒星伴星提供了额外的引力扰动源,促进了行星的形成,包括加速了行星微尘的积累以及助长了气态巨行星的形成。","恒星伴星有助于行星系统的金属丰度增加,从而导致形成更大质量和更多样化的行星,包括超级地球和热木星。","恒星伴星充当引力透镜,通过微引力透镜事件增加了系外行星的可探测性,使得能够发现距离母恒星更远的行星。"
内部超级地球和外部冷木星之间存在什么关系?,"内部超级地球和外部冷木星之间存在强正相关关系,这意味着拥有内部超级地球的系统更有可能拥有外部冷木星,反之亦然。","内部超级地球和外部冷木星之间存在负相关关系,表明一种行星的存在会阻碍另一种行星的形成。","内部超级地球和外部冷木星之间没有显著相关性,这表明它们的形成和演化过程是独立的。","内部超级地球和外部冷木星之间的关系很复杂,取决于诸如恒星金属丰度和系统中是否存在其他行星等因素。"
观测到的系外行星统计数据对核心积累模型和微尘积累模型提出了哪些关键的理论挑战?,核心积累模型和微尘积累模型都难以解释行星形成的高效率、超级地球的丰度以及内部超级地球与外部冷木星之间的强相关性。,"核心积累模型难以解释超级地球的形成,而微尘积累模型则难以解释热木星的存在。","核心积累模型难以解释行星系统的多样性,而微尘积累模型则无法完全解释系外行星的偏心率分布。",两种模型都难以解释漂浮行星的存在以及围绕低质量恒星(如红矮星)形成行星的情况。
区分波动暗物质和粒子暗物质的关键特征是什么?,"波动暗物质由玻色子组成,而粒子暗物质由费米子组成。","由于波动暗物质的德布罗意波长远大于粒子间距离,因此表现出波动行为,如干涉和衍射。","波动暗物质只与引力相互作用,而粒子暗物质可能存在其他相互作用。","波动暗物质必然是超轻质(质量约为10^-22 eV),而粒子暗物质质量范围可能很广。"
"与传统冷暗物质(CDM)相比,波动暗物质的线性功率谱如何?",在所有尺度上都是相同的。,"由于量子压力,波动暗物质在小尺度(高k)上功率谱被抑制,但在大尺度(低k)上与CDM相匹配。","由于波动干涉,波动暗物质在小尺度上功率谱被增强,但在大尺度上与CDM相匹配。","与CDM相比,波动暗物质在所有尺度上功率谱都被抑制。"
